,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
0,2,10000,1100,Ground out of 2,1,Bandel,1,1,Bachelors/Family,2
1,2,20000,800,1 out of 3,1,"Phool Bagan, Kankurgachi",1,2,Bachelors/Family,1
2,2,17000,1000,1 out of 3,1,Salt Lake City Sector 2,1,2,Bachelors/Family,1
3,2,10000,800,1 out of 2,1,Dumdum Park,1,1,Bachelors/Family,1
4,2,7500,850,1 out of 2,2,South Dum Dum,1,1,Bachelors,1
5,2,7000,600,Ground out of 1,1,Thakurpukur,1,1,Bachelors/Family,2
6,2,10000,700,Ground out of 4,1,Malancha,1,1,Bachelors,2
7,1,5000,250,1 out of 2,1,Malancha,1,1,Bachelors,1
8,2,26000,800,1 out of 2,2,"Palm Avenue Kolkata, Ballygunge",1,1,Bachelors,2
9,2,10000,1000,1 out of 3,2,Natunhat,1,2,Bachelors/Family,2
10,3,25000,1200,1 out of 4,2,"Action Area 1, Rajarhat Newtown",1,2,Bachelors/Family,2
11,1,5000,400,1 out of 1,2,Keshtopur,1,1,Bachelors/Family,1
12,1,6500,250,1 out of 4,2,"Tarulia, Keshtopur",1,2,Bachelors,1
13,1,5500,375,1 out of 2,2,Dum Dum Metro,1,1,Bachelors/Family,1
14,3,8500,900,Ground out of 2,2,Paschim Barisha,1,1,Bachelors,2
15,3,40000,1286,1 out of 1,2,New Town Action Area 1,1,2,Bachelors/Family,2
16,2,6000,600,1 out of 2,1,Barasat,1,2,Bachelors/Family,1
17,2,10000,800,Ground out of 2,1,Behala,1,1,Bachelors/Family,1
18,2,11000,2000,Ground out of 3,2,Behala Chowrasta,1,1,Bachelors/Family,1
19,2,6000,660,1 out of 2,1,Behala,1,1,Bachelors/Family,1
20,2,7900,650,1 out of 2,2,Santoshpur,1,1,Family,1
21,2,9000,400,2 out of 3,2,"Garia Station, Garia",1,1,Bachelors,2
22,1,4000,300,Ground out of 4,2,"Garia Station, Garia",1,1,Bachelors/Family,1
23,3,6500,1600,Ground out of 2,1,Joka,1,1,Bachelors/Family,1
24,1,8000,400,1 out of 2,1,Sreebhumi,1,2,Bachelors,1
25,2,7000,1000,1 out of 1,1,Rajarhat,1,1,Bachelors/Family,1
26,1,5300,355,1 out of 1,2,Dum Dum,1,2,Bachelors/Family,1
27,2,6000,1000,Ground out of 3,1,"Kodalia, Hooghly-Chinsurah",1,2,Bachelors/Family,1
28,2,8500,800,4 out of 5,1,Baguiati,1,1,Bachelors/Family,1
29,2,12500,850,Ground out of 2,1,"Rabindra Sarobar Area, Dhakuria",1,1,Bachelors/Family,2
30,1,7500,350,Ground out of 2,2,Baghajatin,1,1,Bachelors/Family,1
31,2,15000,900,Ground out of 2,2,"Project Kaikhali, Vip Road",1,1,Bachelors/Family,2
32,2,6000,550,1 out of 1,1,Vip Road,1,2,Bachelors/Family,1
33,2,5000,500,Ground out of 2,2,Baruipur,1,1,Bachelors/Family,2
34,3,22000,1100,2 out of 3,2,Dumdum Park,1,1,Bachelors/Family,1
35,2,15000,850,1 out of 2,2,Sreebhumi,1,2,Bachelors/Family,1
36,2,12500,800,2 out of 2,2,Shyam Bazar,1,1,Bachelors,1
37,2,7000,630,Ground out of 3,2,Birati,1,1,Bachelors,1
38,2,21000,900,1 out of 2,2,Bansdroni,1,2,Bachelors,2
39,1,10000,270,1 out of 2,2,Jadavpur University,1,2,Bachelors/Family,1
40,2,7200,630,Ground out of 1,2,Birati,1,2,Bachelors/Family,1
41,3,12000,1500,Ground out of 2,2,Bhadrakali,1,2,Bachelors,2
42,1,5000,600,2 out of 5,1,Behala,1,1,Bachelors/Family,1
43,2,8500,700,4 out of 14,2,Baruipur,1,2,Bachelors/Family,1
44,1,6000,300,Ground out of 3,1,Ballygunge,1,2,Bachelors/Family,1
45,2,10000,1300,Ground out of 1,1,Kalikapur,1,2,Family,2
46,2,4600,400,3 out of 3,2,Behala,1,2,Bachelors,1
47,2,12000,650,Ground out of 1,1,"Baishnabghata Patuli Township, Patuli",1,1,Family,2
48,3,30000,2000,Ground out of 2,1,Behala,1,2,Bachelors/Family,2
49,3,15000,1068,Ground out of 3,1,Bansdroni,1,2,Bachelors/Family,2
50,1,7500,150,1 out of 1,1,Salt Lake City,1,2,Bachelors/Family,1
51,1,7500,450,2 out of 2,2,New Town,1,1,Bachelors,1
52,2,5000,800,Ground out of 1,2,Baruipur,1,1,Bachelors/Family,1
53,2,15000,1000,Ground out of 2,1,Bansdroni,1,1,Bachelors/Family,2
54,2,11000,900,5 out of 5,1,Pancha Sayar,1,2,Bachelors,1
55,1,7000,600,Ground out of 2,2,Behala,1,1,Bachelors/Family,1
56,2,6000,1200,1 out of 1,1,Hooghly-Chinsurah,1,1,Bachelors/Family,1
57,2,6000,1200,2 out of 2,1,Hooghly-Chinsurah,1,2,Bachelors,2
